seed,lam,split,theta,FR,TTDef,SupPct,F1
43,0.0001,test,0.05,0.0,0.0,59.534239768981934,0.8664259927797834
43,0.0001,test,0.1,0.0,0.0,59.534239768981934,1.0
43,0.0001,test,0.15,0.0,0.0,59.534239768981934,1.0
43,0.0001,test,0.2,0.0,0.0,59.534239768981934,1.0
43,0.0001,test,0.3,0.0,0.0017361111111111112,59.534239768981934,1.0
43,0.0001,test,0.5,0.0,0.22048611111111113,59.534239768981934,1.0
43,0.0005,val,0.05,0.0,0.0,79.05982732772827,0.8695652173913043
43,0.0005,val,0.1,0.0,0.0,79.05982732772827,0.9836065573770492
43,0.0005,val,0.15,0.0,0.0034722222222222225,79.05982732772827,1.0
43,0.0005,val,0.2,0.0,0.004340277777777778,79.05982732772827,1.0
43,0.0005,val,0.3,0.0,0.02777777777777778,79.05982732772827,1.0
43,0.0005,val,0.5,0.0,0.2612847222222222,79.05982732772827,1.0
43,0.0005,test,0.05,0.0,0.0,79.3657124042511,0.8664259927797834
43,0.0005,test,0.1,0.0,0.0,79.3657124042511,0.9917355371900827
43,0.0005,test,0.15,0.0,0.0026041666666666665,79.3657124042511,1.0
43,0.0005,test,0.2,0.0,0.00607638888888889,79.3657124042511,1.0
43,0.0005,test,0.3,0.0,0.03819444444444445,79.3657124042511,1.0
43,0.0005,test,0.5,0.008333333333333333,0.3783263305322129,79.3657124042511,0.99581589958159
43,0.001,val,0.05,0.0,0.0,85.16292572021484,0.8695652173913043
43,0.001,val,0.1,0.0,0.010416666666666666,85.16292572021484,0.9876543209876543
43,0.001,val,0.15,0.0,0.01388888888888889,85.16292572021484,1.0
43,0.001,val,0.2,0.0,0.01388888888888889,85.16292572021484,1.0
43,0.001,val,0.3,0.0,0.08159722222222224,85.16292572021484,1.0
43,0.001,val,0.5,0.008333333333333333,0.4290966386554621,85.16292572021484,0.99581589958159
43,0.001,test,0.05,0.0,0.0,85.25742888450623,0.8664259927797834
43,0.001,test,0.1,0.0,0.00954861111111111,85.25742888450623,0.9876543209876543
43,0.001,test,0.15,0.0,0.00954861111111111,85.25742888450623,0.995850622406639
43,0.001,test,0.2,0.0,0.013020833333333334,85.25742888450623,1.0
43,0.001,test,0.3,0.0,0.08159722222222224,85.25742888450623,1.0
43,0.001,test,0.5,0.0,0.4157986111111111,85.25742888450623,1.0
43,0.005,val,0.05,0.0,0.0,93.40277910232544,0.8695652173913043
43,0.005,val,0.1,0.0,0.0876736111111111,93.40277910232544,0.933852140077821
43,0.005,val,0.15,0.0,0.19791666666666666,93.40277910232544,0.9876543209876543
43,0.005,val,0.2,0.0,0.19791666666666666,93.40277910232544,0.995850622406639
43,0.005,val,0.3,0.0,0.2543402777777778,93.40277910232544,0.995850622406639
43,0.005,val,0.5,0.0,0.4227430555555556,93.40277910232544,0.995850622406639
43,0.005,test,0.05,0.0,0.0,93.61730217933655,0.8664259927797834
43,0.005,test,0.1,0.008333333333333333,0.1988795518207283,93.61730217933655,0.9302325581395349
43,0.005,test,0.15,0.008333333333333333,0.31092436974789917,93.61730217933655,0.9794238683127572
43,0.005,test,0.2,0.008333333333333333,0.31530112044817926,93.61730217933655,0.9794238683127572
43,0.005,test,0.3,0.008333333333333333,0.41684173669467783,93.61730217933655,0.9875518672199171
43,0.005,test,0.5,0.03333333333333333,0.7796336206896552,93.61730217933655,0.9830508474576272
44,1e-05,val,0.05,0.0,0.0,0.9548604488372803,0.8695652173913043
44,1e-05,val,0.1,0.0,0.0,0.9548604488372803,1.0
44,1e-05,val,0.15,0.0,0.0,0.9548604488372803,1.0
44,1e-05,val,0.2,0.0,0.0026041666666666665,0.9548604488372803,1.0
44,1e-05,val,0.3,0.008333333333333333,0.109593837535014,0.9548604488372803,0.99581589958159
44,1e-05,val,0.5,0.008333333333333333,0.37132352941176466,0.9548604488372803,0.99581589958159
44,1e-05,test,0.05,0.0,0.0,0.92887282371521,0.8664259927797834
44,1e-05,test,0.1,0.0,0.0,0.92887282371521,1.0
44,1e-05,test,0.15,0.0,0.0034722222222222225,0.92887282371521,1.0
44,1e-05,test,0.2,0.0,0.0078125,0.92887282371521,1.0
