tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.023456,0.08,0.0,0.0234,40.56,True,43
0.023456,0.1,0.0,0.0234,40.85,True,43
0.023456,0.12,0.0,0.0295,41.4,False,43
0.023456,0.15,0.0,0.0339,43.14,False,43
0.023456,0.18,0.0,0.0347,46.57,False,43
0.023456,0.2,0.0,0.0347,47.36,False,43
0.023456,0.25,0.0,0.0365,48.59,False,43
0.023456,0.3,0.0,0.0434,50.63,False,43
0.023456,0.35,0.0,0.0503,51.6,False,43
0.023456,0.4,0.0,0.0547,53.48,False,43
0.023456,0.5,0.0,0.0582,58.53,False,43
0.023456,0.7,0.0,0.0582,65.74,False,43
0.024448,0.05,0.0,0.0234,41.09,True,43
0.024448,0.08,0.0,0.0252,41.85,True,43
0.024448,0.1,0.0,0.0252,42.07,True,43
0.024448,0.12,0.0,0.033,42.62,False,43
0.024448,0.15,0.0,0.0373,44.42,False,43
0.024448,0.18,0.0,0.0382,47.99,False,43
0.024448,0.2,0.0,0.0391,48.84,False,43
0.024448,0.25,0.0,0.046,50.15,False,43
0.024448,0.3,0.0,0.053,52.29,False,43
0.024448,0.35,0.0,0.0599,53.27,False,43
0.024448,0.4,0.0,0.066,55.24,False,43
0.024448,0.5,0.0,0.0694,60.46,False,43
0.024448,0.7,0.0,0.0694,67.79,False,43
0.025597,0.05,0.0,0.0234,42.05,True,43
0.025597,0.08,0.0,0.0269,42.84,True,43
0.025597,0.1,0.0,0.0269,43.06,True,43
0.025597,0.12,0.0,0.0356,43.66,False,43
0.025597,0.15,0.0,0.0469,45.59,False,43
0.025597,0.18,0.0,0.053,49.37,False,43
0.025597,0.2,0.0,0.0538,50.31,False,43
0.025597,0.25,0.0,0.0599,51.69,False,43
0.025597,0.3,0.0,0.0651,53.84,False,43
0.025597,0.35,0.0,0.072,54.89,False,43
0.025597,0.4,0.0,0.0781,56.86,False,43
0.025597,0.5,0.0,0.0833,62.18,False,43
0.025597,0.7,0.0,0.0833,69.84,False,43
0.026657,0.05,0.0,0.0252,43.1,True,43
0.026657,0.08,0.0,0.0313,43.94,False,43
0.026657,0.1,0.0,0.033,44.2,False,43
0.026657,0.12,0.0,0.0417,44.84,False,43
0.026657,0.15,0.0,0.0634,47.01,False,43
0.026657,0.18,0.0,0.0694,51.01,False,43
0.026657,0.2,0.0,0.0729,51.94,False,43
0.026657,0.25,0.0,0.0816,53.45,False,43
0.026657,0.3,0.0,0.0851,55.64,False,43
0.026657,0.35,0.0,0.0877,56.68,False,43
0.026657,0.4,0.0,0.0903,58.71,False,43
0.026657,0.5,0.0,0.0955,64.24,False,43
0.026657,0.7,0.0,0.0955,71.85,False,43
0.027771,0.05,0.0,0.0278,44.26,True,43
0.027771,0.08,0.0,0.0339,45.11,False,43
0.027771,0.1,0.0,0.0382,45.43,False,43
0.027771,0.12,0.0,0.0469,46.07,False,43
