seed,dur_frames,dur_s,support,config,FR,TTD,TTDef,SupPct,ComputeRate,FSonset,FSonsetSimple,F1,ECE,H_stable,H_pre,H_post,n_crit
45,18,1.875,interpolation OOD,AF-TOI Fixed,0.0,0.3993,0.3993,0.0,1.0,0.0,0.0,0.1679,0.208,0.0018,0.0018,0.4979,120
45,18,1.875,interpolation OOD,AF-TOI+MHEG,0.0,0.5113,0.5113,59.08,0.4092,0.1528,0.2742,0.1955,0.2198,0.0018,0.0018,0.4979,120
45,22,2.292,interpolation OOD,Baseline Fixed,0.05,0.7155,1.2155,0.0,1.0,0.0,0.0,0.3562,0.1106,0.0079,0.0081,0.1062,120
45,22,2.292,interpolation OOD,Baseline+MHEG,0.0833,0.6847,1.518,63.43,0.3657,0.4847,0.5977,0.3099,0.121,0.0079,0.0081,0.1062,120
45,22,2.292,interpolation OOD,AF-TOI Fixed,0.0,0.4236,0.4236,0.0,1.0,0.0,0.0,0.2609,0.2174,0.0018,0.0018,0.4962,120
45,22,2.292,interpolation OOD,AF-TOI+MHEG,0.0083,0.5165,0.5998,59.74,0.4026,0.1861,0.2818,0.2857,0.2271,0.0018,0.0018,0.4962,120
45,31,3.229,ID anchor (progressive),Baseline Fixed,0.0417,0.6984,1.115,0.0,1.0,0.0,0.0,0.5965,0.0865,0.0079,0.0081,0.0931,120
45,31,3.229,ID anchor (progressive),Baseline+MHEG,0.0917,0.6107,1.5273,63.67,0.3633,0.4097,0.5212,0.5455,0.0977,0.0079,0.0081,0.0931,120
45,31,3.229,ID anchor (progressive),AF-TOI Fixed,0.0,0.322,0.322,0.0,1.0,0.0,0.0,0.4615,0.2069,0.0018,0.0018,0.494,120
45,31,3.229,ID anchor (progressive),AF-TOI+MHEG,0.0167,0.3981,0.5648,61.75,0.3825,0.1917,0.2538,0.4615,0.2098,0.0018,0.0018,0.494,120
45,42,4.375,extrapolation-slow OOD,Baseline Fixed,0.1333,0.6871,2.0204,0.0,1.0,0.0,0.0,0.7435,0.1358,0.0079,0.0081,0.0871,120
45,42,4.375,extrapolation-slow OOD,Baseline+MHEG,0.2083,0.4485,2.5318,64.48,0.3552,0.3,0.3674,0.7234,0.1422,0.0079,0.0081,0.0871,120
45,42,4.375,extrapolation-slow OOD,AF-TOI Fixed,0.0,0.1658,0.1658,0.0,1.0,0.0,0.0,0.4211,0.1909,0.0018,0.0018,0.4932,120
45,42,4.375,extrapolation-slow OOD,AF-TOI+MHEG,0.0167,0.2216,0.3882,62.8,0.372,0.1236,0.1811,0.4211,0.1909,0.0018,0.0018,0.4932,120
45,50,5.208,extrapolation-slow OOD,Baseline Fixed,0.25,0.419,2.919,0.0,1.0,0.0,0.0,0.8,0.1652,0.0079,0.0081,0.0852,120
45,50,5.208,extrapolation-slow OOD,Baseline+MHEG,0.2833,0.3028,3.1361,66.55,0.3345,0.2861,0.3068,0.7817,0.1702,0.0079,0.0081,0.0852,120
45,50,5.208,extrapolation-slow OOD,AF-TOI Fixed,0.0083,0.1173,0.2006,0.0,1.0,0.0,0.0,0.3448,0.2162,0.0018,0.0018,0.4934,120
45,50,5.208,extrapolation-slow OOD,AF-TOI+MHEG,0.025,0.1175,0.3675,64.29,0.3571,0.075,0.15,0.3448,0.2105,0.0018,0.0018,0.4934,120
46,2,0.208,extrapolation-fast OOD,Baseline Fixed,0.094,1.1468,2.087,0.0,1.0,0.0,0.0,0.0488,0.108,0.0085,0.0096,0.1915,117
46,2,0.208,extrapolation-fast OOD,Baseline+MHEG,0.1709,1.3767,3.0861,72.92,0.2708,0.1496,0.4895,0.0488,0.0901,0.0085,0.0096,0.1915,117
46,2,0.208,extrapolation-fast OOD,AF-TOI Fixed,0.0,0.4434,0.4434,0.0,1.0,0.0,0.0,0.4615,0.1749,0.0018,0.0018,0.464,117
46,2,0.208,extrapolation-fast OOD,AF-TOI+MHEG,0.0,0.487,0.487,45.25,0.5475,0.1358,0.4118,0.4615,0.1766,0.0018,0.0018,0.464,117
46,6,0.625,ID anchor (abrupt),Baseline Fixed,0.0,0.8628,0.8628,0.0,1.0,0.0,0.0,0.125,0.1149,0.0085,0.0096,0.2301,120
46,6,0.625,ID anchor (abrupt),Baseline+MHEG,0.0833,1.0369,1.8703,67.08,0.3292,0.1308,0.4053,0.1102,0.0978,0.0085,0.0096,0.2301,120
46,6,0.625,ID anchor (abrupt),AF-TOI Fixed,0.0,0.7431,0.7431,0.0,1.0,0.0,0.0,0.5185,0.1454,0.0018,0.0018,0.4559,120
46,6,0.625,ID anchor (abrupt),AF-TOI+MHEG,0.0,0.7457,0.7457,45.25,0.5475,0.0065,0.3136,0.5185,0.1452,0.0018,0.0018,0.4559,120
46,10,1.042,ID anchor (abrupt edge),Baseline Fixed,0.0,0.6458,0.6458,0.0,1.0,0.0,0.0,0.1679,0.1288,0.0085,0.0095,0.2197,120
46,10,1.042,ID anchor (abrupt edge),Baseline+MHEG,0.0167,0.6956,0.8623,62.06,0.3794,0.2564,0.4462,0.1538,0.1262,0.0085,0.0095,0.2197,120
