seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
50,50,5.208,Baseline+MHEG (matched),0.4549,0.4477,0.016,tau_h,54.51,0.1722,0.2485,0.0583,1.0793,0.9333,True
51,2,0.208,AF-TOI+MHEG (frozen),0.498,0.498,0.0,frozen,50.2,0.0754,0.3968,0.0,0.4573,0.08,True
51,2,0.208,Baseline+MHEG (matched),0.4999,0.498,0.0038,tau_h,50.01,0.0537,0.3028,0.0,0.5076,0.0165,True
51,6,0.625,AF-TOI+MHEG (frozen),0.5281,0.5281,0.0,frozen,47.19,0.0956,0.3508,0.0,0.1892,0.08,True
51,6,0.625,Baseline+MHEG (matched),0.5228,0.5281,0.0101,tau_h,47.72,0.0768,0.2667,0.0,0.3837,0.1102,True
51,10,1.042,AF-TOI+MHEG (frozen),0.5494,0.5494,0.0,frozen,45.06,0.085,0.3273,0.0,0.1658,0.125,True
51,10,1.042,Baseline+MHEG (matched),0.5457,0.5494,0.0067,tau_h,45.43,0.1156,0.2068,0.0,0.5208,0.1538,True
51,14,1.458,AF-TOI+MHEG (frozen),0.5555,0.5555,0.0,frozen,44.45,0.0722,0.3674,0.0,0.1467,0.1395,True
51,14,1.458,Baseline+MHEG (matched),0.5646,0.5555,0.0165,tau_h,43.54,0.1375,0.222,0.0,0.3516,0.209,True
51,18,1.875,AF-TOI+MHEG (frozen),0.5584,0.5584,0.0,frozen,44.16,0.0722,0.3689,0.0,0.1693,0.1395,True
51,18,1.875,Baseline+MHEG (matched),0.5511,0.5584,0.0132,tau_h,44.89,0.1514,0.2553,0.0,0.2908,0.1679,True
51,22,2.292,AF-TOI+MHEG (frozen),0.5542,0.5542,0.0,frozen,44.58,0.0778,0.3909,0.0,0.1753,0.1395,True
51,22,2.292,Baseline+MHEG (matched),0.5574,0.5542,0.0058,tau_h,44.26,0.1458,0.2591,0.0,0.2318,0.2979,True
51,31,3.229,AF-TOI+MHEG (frozen),0.5461,0.5461,0.0,frozen,45.39,0.0653,0.3939,0.0,0.1111,0.3099,True
51,31,3.229,Baseline+MHEG (matched),0.5549,0.5461,0.0161,tau_h,44.51,0.1667,0.2492,0.0083,0.3512,0.5366,True
51,42,4.375,AF-TOI+MHEG (frozen),0.526,0.526,0.0,frozen,47.4,0.0972,0.428,0.0,0.138,0.6207,True
51,42,4.375,Baseline+MHEG (matched),0.5231,0.526,0.0056,tau_h,47.69,0.1764,0.3773,0.0083,0.3923,0.8177,True
51,50,5.208,AF-TOI+MHEG (frozen),0.5286,0.5286,0.0,frozen,47.14,0.0931,0.4606,0.0,0.1111,0.6364,True
51,50,5.208,Baseline+MHEG (matched),0.5257,0.5286,0.0054,tau_h,47.43,0.1722,0.428,0.0167,0.691,0.9041,True
52,2,0.208,AF-TOI+MHEG (frozen),0.5212,0.5212,0.0,frozen,47.88,0.0357,0.2765,0.0,0.5051,0.3217,True
52,2,0.208,Baseline+MHEG (matched),0.5113,0.5212,0.019,tau_h,48.87,0.0934,0.33,0.1681,3.3168,0.0488,True
52,6,0.625,AF-TOI+MHEG (frozen),0.5393,0.5393,0.0,frozen,46.07,0.0943,0.2477,0.0,0.8203,0.3893,True
52,6,0.625,Baseline+MHEG (matched),0.533,0.5393,0.0118,tau_h,46.7,0.1844,0.2924,0.025,1.516,0.0645,True
52,10,1.042,AF-TOI+MHEG (frozen),0.5503,0.5503,0.0,frozen,44.97,0.1792,0.2705,0.0,0.8594,0.3784,True
52,10,1.042,Baseline+MHEG (matched),0.5471,0.5503,0.0058,tau_h,45.29,0.2514,0.3159,0.0,0.9358,0.125,True
52,14,1.458,AF-TOI+MHEG (frozen),0.5594,0.5594,0.0,frozen,44.06,0.2236,0.2848,0.0,0.8125,0.4211,True
52,14,1.458,Baseline+MHEG (matched),0.5512,0.5594,0.0146,tau_h,44.88,0.2583,0.3114,0.0,0.7049,0.1538,True
52,18,1.875,AF-TOI+MHEG (frozen),0.5625,0.5625,0.0,frozen,43.75,0.2389,0.278,0.0,0.7092,0.4314,True
52,18,1.875,Baseline+MHEG (matched),0.5613,0.5625,0.0021,tau_h,43.87,0.2375,0.2848,0.0,0.5642,0.1538,True
52,22,2.292,AF-TOI+MHEG (frozen),0.5577,0.5577,0.0,frozen,44.23,0.2569,0.3288,0.0,0.5729,0.4906,True
